Namespace(BATCH=64, DECLR=5.0, DROPOUT=False, EARLY=False, EARLY_PATIENCE=5, EMBED=300, EVAL_EVERY=1, HIDDEN=600, HIDDEN2=None, LAMBDA=0.0, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=3, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/fra_eng1.dec', SAVE_ENC_PATH='./data/model/fra_eng1.enc', STEP=30, TEST_FILE='eng-fra-small.test', TRAIN_FILE='eng-fra-small.train', VALID_FILE='eng-fra-small.valid')
cuda states: True
[1/30] train_loss: 3.0892, valid_loss: 3.1188
[2/30] train_loss: 2.1250, valid_loss: 2.8437
[3/30] train_loss: 1.7076, valid_loss: 2.7564
[4/30] train_loss: 1.5016, valid_loss: 2.8267
[5/30] train_loss: 1.3457, valid_loss: 2.7963
[6/30] train_loss: 1.2266, valid_loss: 2.8638
[7/30] train_loss: 1.1514, valid_loss: 2.8974
[8/30] train_loss: 1.0892, valid_loss: 2.9263
[9/30] train_loss: 1.0426, valid_loss: 3.0162
[10/30] train_loss: 0.9982, valid_loss: 2.9431
[11/30] train_loss: 0.9537, valid_loss: 3.0719
[12/30] train_loss: 0.9151, valid_loss: 3.0247
[13/30] train_loss: 0.8829, valid_loss: 3.0989
[14/30] train_loss: 0.8575, valid_loss: 3.1468
[15/30] train_loss: 0.8432, valid_loss: 3.2186
[16/30] train_loss: 0.6412, valid_loss: 3.1363
[17/30] train_loss: 0.4796, valid_loss: 3.2285
[18/30] train_loss: 0.4148, valid_loss: 3.2867
[19/30] train_loss: 0.3801, valid_loss: 3.3266
[20/30] train_loss: 0.3593, valid_loss: 3.4313
[21/30] train_loss: 0.3438, valid_loss: 3.4395
[22/30] train_loss: 0.3351, valid_loss: 3.4886
[23/30] train_loss: 0.3256, valid_loss: 3.5288
[24/30] train_loss: 0.3189, valid_loss: 3.5673
[25/30] train_loss: 0.3135, valid_loss: 3.5722
[26/30] train_loss: 0.3081, valid_loss: 3.5790
[27/30] train_loss: 0.3036, valid_loss: 3.5979
[28/30] train_loss: 0.2990, valid_loss: 3.6154
[29/30] train_loss: 0.2963, valid_loss: 3.6386
[30/30] train_loss: 0.2942, valid_loss: 3.6691
