Namespace(BATCH=64, DECLR=5.0, DROPOUT=True, EARLY=False, EARLY_PATIENCE=5, EMBED=300, EVAL_EVERY=1, HIDDEN=600, HIDDEN2=None, LAMBDA=0.0001, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=3, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/fra_eng4.dec', SAVE_ENC_PATH='./data/model/fra_eng4.enc', STEP=30, TEST_FILE='eng-fra-small.test', TRAIN_FILE='eng-fra-small.train', VALID_FILE='eng-fra-small.valid')
cuda states: True
[1/30] train_loss: 3.2659, valid_loss: 3.2235
[2/30] train_loss: 2.5759, valid_loss: 2.9428
[3/30] train_loss: 2.3428, valid_loss: 2.7658
[4/30] train_loss: 2.1970, valid_loss: 2.7022
[5/30] train_loss: 2.0755, valid_loss: 2.6145
[6/30] train_loss: 1.9719, valid_loss: 2.5265
[7/30] train_loss: 1.8980, valid_loss: 2.5285
[8/30] train_loss: 1.8326, valid_loss: 2.4735
[9/30] train_loss: 1.8030, valid_loss: 2.5166
[10/30] train_loss: 1.7619, valid_loss: 2.4514
[11/30] train_loss: 1.7417, valid_loss: 2.4514
[12/30] train_loss: 1.7087, valid_loss: 2.4679
[13/30] train_loss: 1.7012, valid_loss: 2.4515
[14/30] train_loss: 1.6810, valid_loss: 2.4127
[15/30] train_loss: 1.7004, valid_loss: 2.4469
[16/30] train_loss: 1.3124, valid_loss: 2.1803
[17/30] train_loss: 1.1710, valid_loss: 2.1425
[18/30] train_loss: 1.1097, valid_loss: 2.1481
[19/30] train_loss: 1.0669, valid_loss: 2.1184
[20/30] train_loss: 1.0293, valid_loss: 2.1320
[21/30] train_loss: 1.0015, valid_loss: 2.1184
[22/30] train_loss: 0.9727, valid_loss: 2.1349
[23/30] train_loss: 0.9499, valid_loss: 2.1545
[24/30] train_loss: 0.9298, valid_loss: 2.1409
[25/30] train_loss: 0.9106, valid_loss: 2.1466
[26/30] train_loss: 0.8950, valid_loss: 2.1440
[27/30] train_loss: 0.8786, valid_loss: 2.1548
[28/30] train_loss: 0.8618, valid_loss: 2.1672
[29/30] train_loss: 0.8497, valid_loss: 2.1920
[30/30] train_loss: 0.8381, valid_loss: 2.2082
