Namespace(BATCH=64, DECLR=5.0, DROPOUT=True, EARLY=True, EARLY_PATIENCE=5, EMBED=300, EVAL_EVERY=1, HIDDEN=600, HIDDEN2=None, LAMBDA=0.0001, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=3, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/fra-eng1.dec', SAVE_ENC_PATH='./data/model/fra-eng1.enc', STEP=40, TEST_FILE='fra-eng-small.test', TRAIN_FILE='fra-eng-small.train', VALID_FILE='fra-eng-small.valid')
cuda states: True
[1/40] train_loss: 2.7885, valid_loss: 2.8210
[2/40] train_loss: 2.0441, valid_loss: 2.5624
[3/40] train_loss: 1.8506, valid_loss: 2.6293
[4/40] train_loss: 1.6576, valid_loss: 2.4139
[5/40] train_loss: 1.5212, valid_loss: 2.6094
[6/40] train_loss: 1.4182, valid_loss: 2.2324
[7/40] train_loss: 1.2919, valid_loss: 2.1555
[8/40] train_loss: 1.2222, valid_loss: 2.0872
[9/40] train_loss: 1.2081, valid_loss: 2.0312
[10/40] train_loss: 1.1333, valid_loss: 2.1819
[11/40] train_loss: 0.8009, valid_loss: 1.8764
[12/40] train_loss: 0.6623, valid_loss: 1.8078
[13/40] train_loss: 0.6097, valid_loss: 1.8444
[14/40] train_loss: 0.5734, valid_loss: 1.8225
[15/40] train_loss: 0.5455, valid_loss: 1.8844
[16/40] train_loss: 0.5223, valid_loss: 1.8431
[17/40] train_loss: 0.5013, valid_loss: 1.9419
[18/40] train_loss: 0.4840, valid_loss: 1.8883
[19/40] train_loss: 0.4664, valid_loss: 1.8719
[20/40] train_loss: 0.4527, valid_loss: 1.9547
Early Stopping!
[2.8209991693496703, 2.562387490272522, 2.629289484024048, 2.4138513565063477, 2.6094481348991394, 2.2324341952800753, 2.1554915606975555, 2.0871706187725065, 2.0311772644519808, 2.181897908449173, 1.876433265209198, 1.807783180475235, 1.8444198966026306, 1.82252579331398, 1.8844324767589569, 1.8431284546852111, 1.9418590426445008, 1.8882879316806793, 1.8719101548194885, 1.9546544969081878]
