Namespace(BATCH=64, DECLR=5.0, DROPOUT=True, EARLY=False, EARLY_PATIENCE=5, EMBED=300, EVAL_EVERY=1, HIDDEN=600, HIDDEN2=None, LAMBDA=0.0, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=3, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/fra_eng2.dec', SAVE_ENC_PATH='./data/model/fra_eng2.enc', STEP=30, TEST_FILE='eng-fra-small.test', TRAIN_FILE='eng-fra-small.train', VALID_FILE='eng-fra-small.valid')
cuda states: True
[1/30] train_loss: 3.2293, valid_loss: 3.0672
[2/30] train_loss: 2.3428, valid_loss: 2.9532
[3/30] train_loss: 2.0165, valid_loss: 2.8920
[4/30] train_loss: 1.7868, valid_loss: 2.9224
[5/30] train_loss: 1.6543, valid_loss: 2.8535
[6/30] train_loss: 1.5453, valid_loss: 2.8112
[7/30] train_loss: 1.4636, valid_loss: 2.8702
[8/30] train_loss: 1.3975, valid_loss: 2.8610
[9/30] train_loss: 1.3472, valid_loss: 2.8575
[10/30] train_loss: 1.3109, valid_loss: 2.9347
[11/30] train_loss: 1.2719, valid_loss: 2.9508
[12/30] train_loss: 1.2448, valid_loss: 3.0302
[13/30] train_loss: 1.2104, valid_loss: 3.0555
[14/30] train_loss: 1.2087, valid_loss: 3.0978
[15/30] train_loss: 1.1652, valid_loss: 3.0717
[16/30] train_loss: 0.9497, valid_loss: 3.0043
[17/30] train_loss: 0.8594, valid_loss: 3.0050
[18/30] train_loss: 0.8145, valid_loss: 2.9984
[19/30] train_loss: 0.7850, valid_loss: 3.0151
[20/30] train_loss: 0.7618, valid_loss: 3.0055
[21/30] train_loss: 0.7413, valid_loss: 3.0405
[22/30] train_loss: 0.7304, valid_loss: 3.0412
[23/30] train_loss: 0.7135, valid_loss: 3.0312
[24/30] train_loss: 0.6988, valid_loss: 3.0388
[25/30] train_loss: 0.6866, valid_loss: 3.0560
[26/30] train_loss: 0.6756, valid_loss: 3.0552
[27/30] train_loss: 0.6666, valid_loss: 3.0714
[28/30] train_loss: 0.6551, valid_loss: 3.0836
[29/30] train_loss: 0.6474, valid_loss: 3.0879
[30/30] train_loss: 0.6382, valid_loss: 3.1080
