Namespace(BATCH=64, DECLR=5.0, DROPOUT=True, EARLY=True, EARLY_PATIENCE=5, EMBED=300, EVAL_EVERY=1, HIDDEN=600, HIDDEN2=None, LAMBDA=0.0001, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=3, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/eng-fra7.dec', SAVE_ENC_PATH='./data/model/eng-fra7.enc', STEP=40, TEST_FILE='eng-fra-small.test', TRAIN_FILE='eng-fra-small.train', VALID_FILE='eng-fra-small.valid')
cuda states: True
[1/40] train_loss: 3.2286, valid_loss: 3.0887
[2/40] train_loss: 2.5468, valid_loss: 2.8959
[3/40] train_loss: 2.3351, valid_loss: 2.7776
[4/40] train_loss: 2.2000, valid_loss: 2.6645
[5/40] train_loss: 2.0773, valid_loss: 2.6582
[6/40] train_loss: 1.9965, valid_loss: 2.6398
[7/40] train_loss: 1.9351, valid_loss: 2.5092
[8/40] train_loss: 1.8753, valid_loss: 2.5235
[9/40] train_loss: 1.8130, valid_loss: 2.4927
[10/40] train_loss: 1.7750, valid_loss: 2.5281
[11/40] train_loss: 1.4000, valid_loss: 2.1733
[12/40] train_loss: 1.2469, valid_loss: 2.1141
[13/40] train_loss: 1.1833, valid_loss: 2.1100
[14/40] train_loss: 1.1393, valid_loss: 2.1073
[15/40] train_loss: 1.1018, valid_loss: 2.0965
[16/40] train_loss: 1.0702, valid_loss: 2.0968
[17/40] train_loss: 1.0355, valid_loss: 2.1195
[18/40] train_loss: 1.0111, valid_loss: 2.1160
[19/40] train_loss: 0.9874, valid_loss: 2.0970
[20/40] train_loss: 0.9659, valid_loss: 2.1133
[21/40] train_loss: 0.8201, valid_loss: 2.0861
[22/40] train_loss: 0.7854, valid_loss: 2.0992
[23/40] train_loss: 0.7685, valid_loss: 2.0838
[24/40] train_loss: 0.7593, valid_loss: 2.0926
Early Stopping!
[3.088718664646149, 2.8959229469299315, 2.7775624871253966, 2.664535701274872, 2.6582005262374877, 2.639766073226929, 2.509188938140869, 2.5234882950782778, 2.4927280068397524, 2.5281090140342712, 2.1733001351356505, 2.1140974402427672, 2.109976190328598, 2.107279449701309, 2.0965055346488954, 2.096785473823547, 2.1194784104824067, 2.1159882128238676, 2.096963661909103, 2.1133048236370087, 2.0860635638237, 2.0991627395153047, 2.083793592453003, 2.0925995647907256]
