Namespace(BATCH=64, DECLR=5.0, DROPOUT=True, DROPOUT_RATE=0.1, EARLY=True, EARLY_PATIENCE=5, EMBED=256, EVAL_EVERY=1, HIDDEN=512, HIDDEN2=None, LAMBDA=0.0001, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=5, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/eng-fra9.dec', SAVE_ENC_PATH='./data/model/eng-fra9.enc', STEP=40, TEST_FILE='eng-fra-small.test', TRAIN_FILE='eng-fra-small.train', VALID_FILE='eng-fra-small.valid')
cuda states: True
[1/40] train_loss: 3.7307, valid_loss: 3.7654
[2/40] train_loss: 2.9452, valid_loss: 3.3171
[3/40] train_loss: 2.6442, valid_loss: 3.0527
[4/40] train_loss: 2.4207, valid_loss: 2.9345
[5/40] train_loss: 2.2681, valid_loss: 2.9066
[6/40] train_loss: 2.1707, valid_loss: 2.9373
[7/40] train_loss: 2.0899, valid_loss: 2.7830
[8/40] train_loss: 2.0374, valid_loss: 2.7251
[9/40] train_loss: 1.9818, valid_loss: 2.6090
[10/40] train_loss: 1.9491, valid_loss: 2.6472
[11/40] train_loss: 1.5785, valid_loss: 2.3451
[12/40] train_loss: 1.4378, valid_loss: 2.3077
[13/40] train_loss: 1.3606, valid_loss: 2.2886
[14/40] train_loss: 1.2970, valid_loss: 2.2863
[15/40] train_loss: 1.2359, valid_loss: 2.2881
[16/40] train_loss: 1.1800, valid_loss: 2.2879
[17/40] train_loss: 1.1313, valid_loss: 2.2786
[18/40] train_loss: 1.0865, valid_loss: 2.2811
[19/40] train_loss: 1.0459, valid_loss: 2.3110
[20/40] train_loss: 1.0098, valid_loss: 2.2902
[21/40] train_loss: 0.8349, valid_loss: 2.3037
[22/40] train_loss: 0.7902, valid_loss: 2.3073
Early Stopping!
[3.7654358386993407, 3.317138874530792, 3.052694010734558, 2.934453320503235, 2.906565713882446, 2.937305819988251, 2.782981836795807, 2.7250873923301695, 2.6090075850486754, 2.647195816040039, 2.345146048069, 2.3077276229858397, 2.288583165407181, 2.286262273788452, 2.2881128907203676, 2.2878503859043122, 2.2786332309246062, 2.281134080886841, 2.3109925866127012, 2.290162962675095, 2.303744453191757, 2.3072677552700043]
